Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 16 Dec 2024 11:42:30 PM

Recipient,2004,2005,2006,2004-2006,Percentage,2009,2010,2011,2009-2011,Percentage,2014,2015,2016,2014-2016,Percentage,Sum total years,Percentage of total
Uganda,,,,,0.0%,2,,,2,0.0%,,5,,5,0.0%,7,0.0%
El Salvador,,,,,0.0%,2,2,2,5,0.0%,1,,,1,0.0%,7,0.0%
Venezuela,,,,,0.0%,,,,,0.0%,,6,,6,0.0%,6,0.0%
Djibouti,,,,,0.0%,,,,,0.0%,5,,1,6,0.0%,6,0.0%
Bolivia,,,,,0.0%,,,1,1,0.0%,6,,,6,0.0%,6,0.0%
Estonia,,,,,0.0%,,,,,0.0%,,2,2,5,0.0%,5,0.0%
Burundi,,,,,0.0%,,,,,0.0%,,1,3,4,0.0%,4,0.0%
Georgia,,,,,0.0%,3,,,3,0.0%,1,,,1,0.0%,4,0.0%
Bahamas,,3,,3,0.0%,1,,,1,0.0%,,,,,0.0%,4,0.0%
unknown recipient(s),,,,,0.0%,,3,,3,0.0%,0 ,0 ,,0 ,0.0%,4,0.0%
Burkina Faso,,,3,3,0.0%,,,,,0.0%,,,,,0.0%,3,0.0%
Ghana,,,,,0.0%,,,,,0.0%,3,,,3,0.0%,3,0.0%
Senegal,,,,,0.0%,,,2,2,0.0%,,,,,0.0%,2,0.0%
Honduras,,,,,0.0%,,,0 ,0 ,0.0%,,2,,2,0.0%,2,0.0%
Azerbaijan,,,,,0.0%,0 ,1,1,2,0.0%,1,,,1,0.0%,2,0.0%
African Union**,,,,,0.0%,,,,,0.0%,,2,,2,0.0%,2,0.0%
Botswana,,,,,0.0%,1,1,,2,0.0%,,,,,0.0%,2,0.0%
Mauritania,,,,,0.0%,,,,,0.0%,2,,,2,0.0%,2,0.0%
Libya HoR*,,,,,0.0%,,,,,0.0%,2,,,2,0.0%,2,0.0%
Turkmenistan,,,,,0.0%,,,,,0.0%,,,1,1,0.0%,1,0.0%
Ireland,,,1,1,0.0%,,,,,0.0%,,,,,0.0%,1,0.0%
Jamaica,,,,,0.0%,,1,,1,0.0%,,0 ,0 ,0 ,0.0%,1,0.0%
Paraguay,,,,,0.0%,,,1,1,0.0%,,,,,0.0%,1,0.0%
Slovenia,,,,,0.0%,,,,,0.0%,1,,,1,0.0%,1,0.0%
Congo,,,,,0.0%,,1,,1,0.0%,,,,,0.0%,1,0.0%
Gabon,,,,,0.0%,,1,,1,0.0%,,,,,0.0%,1,0.0%
Libya GNC,,,,,0.0%,,,,,0.0%,,,0 ,0 ,0.0%,0 ,0.0%
North Macedonia,,,0 ,0 ,0.0%,,,,,0.0%,,,,,0.0%,0 ,0.0%
Angola,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Libya,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Namibia,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Serbia,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Somalia,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
South Sudan,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Total imports from United States,6839,6738,7533,21109,100%,7191,8389,9024,24604,100%,9490,9868,9465,28822,100%,74536,

Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 16 Dec 2024 11:42:31 PM

Recipient,2004,2005,2006,2004-2006,Percentage,2009,2010,2011,2009-2011,Percentage,2014,2015,2016,2014-2016,Percentage,Sum total years,Percentage of total
Saudi Arabia,,,,,0.0%,463,555,390,1408,44%,623,758,825,2205,53%,3613,34%
United States,195,172,203,570,18%,284,187,177,648,20%,,24,48,72,1.7%,1290,12%
India,104,117,,221,7.0%,112,120,140,372,12%,150,150,130,430,10%,1023,9.7%
Indonesia,,,,,0.0%,,,,,0.0%,601,18,15,633,15%,633,6.0%
China,60,70,50,180,5.7%,70,70,70,210,6.5%,70,70,60,200,4.8%,590,5.6%
Romania,218,219,1,438,14%,,,,,0.0%,,,,,0.0%,438,4.2%
Canada,270,16,4,290,9.2%,2,11,12,25,0.8%,,,,,0.0%,315,3.0%
Greece,,53,106,159,5.0%,,53,,53,1.6%,,53,,53,1.3%,265,2.5%
Oman,38,38,,76,2.4%,,,,,0.0%,145,,,145,3.5%,221,2.1%
Japan,20,20,35,75,2.4%,23,33,13,68,2.1%,16,13,13,41,1.0%,184,1.7%
Algeria,,9,9,19,0.6%,,47,42,89,2.8%,,38,38,75,1.8%,183,1.7%
Denmark,,38,63,100,3.2%,63,13,,75,2.3%,,,,,0.0%,175,1.7%
Switzerland,35,70,70,175,5.5%,,,,,0.0%,,,,,0.0%,175,1.7%
Chile,22,,120,142,4.5%,,,,,0.0%,,,,,0.0%,142,1.3%
Malaysia,14,32,37,83,2.6%,3,8,,11,0.3%,,10,32,42,1.0%,135,1.3%
South Africa,,9,120,129,4.1%,,4,,4,0.1%,,2,,2,0.0%,135,1.3%
Australia,17,8,,25,0.8%,,,80,80,2.5%,17,2,,19,0.5%,124,1.2%
South Korea,,,,,0.0%,,,,,0.0%,,,112,112,2.7%,112,1.1%
Ireland,,,,,0.0%,,,,,0.0%,35,35,35,105,2.5%,105,1.0%
Spain,51,45,,96,3.0%,,,,,0.0%,,,,,0.0%,96,0.9%
Italy,8,16,32,56,1.8%,,,30,30,0.9%,,,,,0.0%,86,0.8%
Jordan,69,,,69,2.2%,,1,,1,0.0%,,1,,1,0.0%,70,0.7%
Turkiye,14,14,14,42,1.3%,14,13,,27,0.8%,,,,,0.0%,69,0.6%
Bahrain,,,60,60,1.9%,,,,,0.0%,,,,,0.0%,60,0.6%
Germany,22,20,10,52,1.6%,,,,,0.0%,,,,,0.0%,52,0.5%
Thailand,10,5,18,33,1.0%,,,,,0.0%,,,11,11,0.3%,44,0.4%
Norway,,,,,0.0%,,,40,40,1.2%,,,,,0.0%,40,0.4%
Bangladesh,16,,,16,0.5%,,23,,23,0.7%,,,,,0.0%,39,0.4%
Netherlands,12,12,1,25,0.8%,,,,,0.0%,,,,,0.0%,25,0.2%
Brazil,,,,,0.0%,20,,,20,0.6%,,2,2,4,0.1%,24,0.2%
Austria,18,,,18,0.6%,,,,,0.0%,,,,,0.0%,18,0.2%
Estonia,0 ,,,0 ,0.0%,18,,,18,0.6%,,,,,0.0%,18,0.2%
Sweden,,,,,0.0%,2,6,6,14,0.4%,,,,,0.0%,14,0.1%
Ukraine,,,,,0.0%,,,,,0.0%,,6,,6,0.1%,6,0.1%
Kuwait,,,,,0.0%,,3,3,6,0.2%,,,,,0.0%,6,0.1%
Afghanistan,,,,,0.0%,,6,,6,0.2%,,,,,0.0%,6,0.1%
Iraq,,5,,5,0.2%,,,,,0.0%,,,,,0.0%,5,0.0%
Czechia,2,2,1,4,0.1%,,,,,0.0%,,,,,0.0%,4,0.0%
Latvia,,,,,0.0%,,,,,0.0%,,1,4,4,0.1%,4,0.0%
Ecuador,,,,,0.0%,,,4,4,0.1%,,,,,0.0%,4,0.0%
Venezuela,,4,,4,0.1%,,,,,0.0%,,,,,0.0%,4,0.0%
Congo,,,,,0.0%,,,,,0.0%,,2,,2,0.1%,2,0.0%
Peru,,,,,0.0%,,,,,0.0%,2,,,2,0.0%,2,0.0%
UAE,2,,,2,0.1%,,,,,0.0%,,,,,0.0%,2,0.0%
Nepal,0 ,,,0 ,0.0%,,,,,0.0%,,,,,0.0%,0 ,0.0%
Cote d'Ivoire,,,,,0.0%,,,,,0.0%,,,0 ,0 ,0.0%,0 ,0.0%
Malawi,,,,,0.0%,,,,,0.0%,,,0 ,0 ,0.0%,0 ,0.0%
Mauritania,,,,,0.0%,,,,,0.0%,,,0 ,0 ,0.0%,0 ,0.0%
Finland,,,,,0.0%,,,,,0.0%,,,0 ,0 ,0.0%,0 ,0.0%
Djibouti,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Lithuania,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Mozambique,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Pakistan,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Philippines,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Poland,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Rwanda,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Somalia,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Total imports from United Kingdom,1217,991,954,3162,100%,1073,1152,1007,3231,100%,1658,1183,1324,4164,100%,10558,

Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 16 Dec 2024 11:42:31 PM

Recipient,2004,2005,2006,2004-2006,Percentage,2009,2010,2011,2009-2011,Percentage,2014,2015,2016,2014-2016,Percentage,Sum total years,Percentage of total
India,1460,681,921,3062,18%,1425,2276,2496,6197,31%,1582,1797,1691,5069,28%,14329,26%
China,2883,3066,2445,8394,51%,1093,683,761,2537,13%,561,766,772,2098,12%,13028,24%
Algeria,246,92,202,540,3.3%,1003,686,988,2676,13%,313,545,1592,2450,14%,5666,10%
Viet Nam,299,164,16,479,2.9%,55,160,979,1194,5.9%,1070,751,719,2540,14%,4213,7.7%
Iraq,,,73,73,0.4%,,73,87,160,0.8%,334,474,353,1161,6.5%,1393,2.6%
Egypt,60,154,60,274,1.7%,8,369,437,814,4.0%,110,5,176,291,1.6%,1379,2.5%
Azerbaijan,,,,,0.0%,2,101,485,588,2.9%,555,214,7,776,4.3%,1364,2.5%
Venezuela,,,356,356,2.1%,260,60,270,589,2.9%,79,,,79,0.4%,1024,1.9%
Iran,15,15,368,397,2.4%,50,35,29,114,0.6%,4,4,413,421,2.4%,932,1.7%
Syria,5,15,26,46,0.3%,85,353,410,848,4.2%,2,16,3,21,0.1%,915,1.7%
Myanmar,120,137,151,408,2.5%,14,47,382,442,2.2%,28,12,,40,0.2%,889,1.6%
Kazakhstan,31,40,29,100,0.6%,20,51,47,119,0.6%,29,443,199,671,3.8%,889,1.6%
Sudan,278,93,23,394,2.4%,35,70,72,177,0.9%,,53,53,106,0.6%,677,1.2%
UAE,,,,,0.0%,149,324,126,599,3.0%,,,,,0.0%,599,1.1%
Yemen,225,241,,466,2.8%,,90,,90,0.4%,,,,,0.0%,556,1.0%
Indonesia,29,,,29,0.2%,165,187,63,415,2.1%,54,,,54,0.3%,498,0.9%
Uganda,18,,,18,0.1%,14,,439,452,2.2%,,,,,0.0%,470,0.9%
Belarus,,,116,116,0.7%,,,75,75,0.4%,66,89,117,272,1.5%,463,0.8%
Afghanistan,,15,,15,0.1%,29,73,83,184,0.9%,218,,,218,1.2%,416,0.8%
Malaysia,,,,,0.0%,394,0 ,,395,2.0%,,,,,0.0%,395,0.7%
Turkmenistan,,,,,0.0%,36,28,136,200,1.0%,17,51,36,104,0.6%,304,0.6%
Ethiopia,230,,,230,1.4%,,58,,58,0.3%,,,,,0.0%,288,0.5%
Bangladesh,,,21,21,0.1%,,,28,28,0.1%,,78,155,233,1.3%,282,0.5%
Armenia,68,,,68,0.4%,46,46,2,93,0.5%,,,110,110,0.6%,272,0.5%
Pakistan,87,,,87,0.5%,7,26,29,62,0.3%,29,37,43,109,0.6%,258,0.5%
Peru,,,,,0.0%,12,,62,73,0.4%,58,94,22,174,1.0%,247,0.5%
South Korea,32,86,102,220,1.3%,,,,,0.0%,,,,,0.0%,220,0.4%
Czechia,,176,26,201,1.2%,,,,,0.0%,,,,,0.0%,201,0.4%
Jordan,,,,,0.0%,60,80,40,180,0.9%,,,,,0.0%,180,0.3%
Kuwait,,,,,0.0%,,36,65,102,0.5%,,48,,48,0.3%,149,0.3%
Nigeria,,,,,0.0%,,,,,0.0%,58,90,,147,0.8%,147,0.3%
Mongolia,,,,,0.0%,,64,3,66,0.3%,,73,,73,0.4%,140,0.3%
Brazil,,,,,0.0%,,77,18,95,0.5%,35,6,5,45,0.3%,139,0.3%
Angola,,,,,0.0%,,,,,0.0%,,29,100,129,0.7%,129,0.2%
Nicaragua,,,,,0.0%,15,,,15,0.1%,13,14,86,113,0.6%,127,0.2%
Morocco,,69,27,96,0.6%,,,,,0.0%,,,,,0.0%,96,0.2%
Cyprus,,,22,22,0.1%,,43,22,66,0.3%,,,,,0.0%,87,0.2%
South Sudan,,,,,0.0%,,,65,65,0.3%,,18,4,22,0.1%,87,0.2%
Greece,22,63,,85,0.5%,,,,,0.0%,,,,,0.0%,85,0.2%
Eritrea,70,3,,73,0.4%,,,,,0.0%,,,,,0.0%,73,0.1%
NATO**,,,58,58,0.3%,,,,,0.0%,,,,,0.0%,58,0.1%
Hungary,51,,,51,0.3%,,,,,0.0%,7,,,7,0.0%,58,0.1%
Tajikistan,,,13,13,0.1%,34,,,34,0.2%,,,7,7,0.0%,54,0.1%
South Africa,,,,,0.0%,,,,,0.0%,50,,,50,0.3%,50,0.1%
Mexico,,,36,36,0.2%,,7,,7,0.0%,,,,,0.0%,44,0.1%
Rwanda,,,,,0.0%,,,,,0.0%,15,29,,44,0.2%,44,0.1%
Poland,4,,,4,0.0%,,22,15,36,0.2%,,,,,0.0%,40,0.1%
Cameroon,,,,,0.0%,,,,,0.0%,29,,11,40,0.2%,40,0.1%
Colombia,,,,,0.0%,36,,,36,0.2%,,,,,0.0%,36,0.1%
Thailand,,,,,0.0%,,,22,22,0.1%,,15,,15,0.1%,36,0.1%
Slovenia,,,,,0.0%,,34,,34,0.2%,,,,,0.0%,34,0.1%
Turkiye,,,,,0.0%,16,16,,32,0.2%,,,,,0.0%,32,0.1%
Uzbekistan,,,,,0.0%,,30,,30,0.1%,,,,,0.0%,30,0.1%
Ghana,29,,,29,0.2%,,,,,0.0%,,,,,0.0%,29,0.1%
Libya,,1,13,14,0.1%,,15,,15,0.1%,,,,,0.0%,29,0.1%
Ukraine Rebels*,,,,,0.0%,,,,,0.0%,24,,,24,0.1%,24,0.0%
Chad,,,15,15,0.1%,,7,,7,0.0%,,,,,0.0%,22,0.0%
Kenya,,,,,0.0%,,,22,22,0.1%,,,,,0.0%,22,0.0%
Nepal,7,,,7,0.0%,,,,,0.0%,,15,,15,0.1%,22,0.0%
Senegal,,15,,15,0.1%,,,,,0.0%,,7,,7,0.0%,22,0.0%
North Korea,8,5,5,17,0.1%,4,1,,5,0.0%,,,,,0.0%,22,0.0%
Palestine,,,,,0.0%,15,5,,20,0.1%,,,,,0.0%,20,0.0%
Laos,,4,,4,0.0%,,,15,15,0.1%,,,,,0.0%,18,0.0%
Ecuador,,,,,0.0%,2,,15,17,0.1%,,,,,0.0%,17,0.0%
Kyrgyzstan,,3,,3,0.0%,,,,,0.0%,,4,8,12,0.1%,15,0.0%
Argentina,,,,,0.0%,,,15,15,0.1%,,,,,0.0%,15,0.0%
Serbia,,,,,0.0%,,,,,0.0%,,,15,15,0.1%,15,0.0%
Zambia,,,,,0.0%,,,,,0.0%,,15,,15,0.1%,15,0.0%
Slovakia,1,,,1,0.0%,6,6,,12,0.1%,,,,,0.0%,13,0.0%
Burkina Faso,,12,,12,0.1%,,,,,0.0%,,,,,0.0%,12,0.0%
Bahrain,,,,,0.0%,,,,,0.0%,,,10,10,0.1%,10,0.0%
Latvia,5,5,,10,0.1%,,,,,0.0%,,,,,0.0%,10,0.0%
Cuba,8,,,8,0.0%,,,,,0.0%,,,,,0.0%,8,0.0%
Equatorial Guinea,,,7,7,0.0%,,,,,0.0%,,,,,0.0%,7,0.0%
Uruguay,,,7,7,0.0%,,,,,0.0%,,,,,0.0%,7,0.0%
United Kingdom,,1,1,2,0.0%,,,,,0.0%,,,,,0.0%,2,0.0%
Guinea,,,,,0.0%,,,1,1,0.0%,,,,,0.0%,1,0.0%
Congo,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Croatia,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Niger,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Sri Lanka,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
United States,,,,,0.0%,,,,,0.0%,,,,,0.0%,,0.0%
Total imports from Russia,6290,5153,5135,16578,100%,5087,6240,8798,20125,100%,5335,5788,6706,17829,100%,54532,

Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 16 Dec 2024 11:42:31 PM

Recipient,2004,2005,2006,2004-2006,Percentage,2009,2010,2011,2009-2011,Percentage,2014,2015,2016,2014-2016,Percentage,Sum total years,Percentage of total
Turkmenistan,,,,,0.0%,,,20,20,8.5%,40,92,128,260,42%,280,29%
Saudi Arabia,15,8,8,31,26%,26,29,33,88,37%,39,52,39,130,21%,249,25%
Malaysia,14,,,14,11%,,32,,32,14%,16,18,23,57,9.1%,103,10%
Azerbaijan,,,,,0.0%,,4,7,11,4.8%,20,11,18,49,7.8%,60,6.1%
Pakistan,,,,,0.0%,7,,22,29,12%,,24,,24,3.9%,53,5.4%
Iraq,,2,50,52,43%,,,,,0.0%,,,,,0.0%,52,5.3%
UAE,,11,9,20,17%,,3,,3,1.4%,5,10,,15,2.4%,38,3.9%
Georgia,,,,,0.0%,26,,,26,11%,,,,,0.0%,26,2.7%
Tunisia,,,,,0.0%,,,,,0.0%,7,,18,25,4.0%,25,2.5%
Qatar,,,,,0.0%,,,,,0.0%,22,,,22,3.6%,22,2.3%
Russia,,,,,0.0%,,,,,0.0%,,16,,16,2.6%,16,1.6%
Colombia,,,,,0.0%,15,,,15,6.5%,,,,,0.0%,15,1.5%
Kuwait,,,,,0.0%,,,,,0.0%,,,12,12,1.9%,12,1.2%
Bahrain,,3,,3,2.6%,,,4,4,1.5%,,,4,4,0.7%,11,1.1%
Kazakhstan,,,,,0.0%,,,,,0.0%,6,,1,7,1.1%,7,0.7%
Egypt,,,,,0.0%,,,4,4,1.8%,,,,,0.0%,4,0.4%
Philippines,0 ,,,0 ,0.2%,,2,,2,0.7%,,,,,0.0%,2,0.2%
Mauritania,,,,,0.0%,,,,,0.0%,,1,1,2,0.3%,2,0.2%
Slovenia,,,,,0.0%,2,,,2,0.6%,,,,,0.0%,2,0.2%
Kosovo,,,,,0.0%,,,,,0.0%,1,,,1,0.2%,1,0.1%
